feature,importance
in_zone,0.5226565702318458
budget_max_num,0.10807380285007061
yield_est,0.06910403055540211
budget_min,0.062263759853862746
reno_cost,0.053015592737432574
total_price,0.025672979568284866
first_time_investor,0.022499971500375943
rooms,0.015519256898660587
has_max_budget,0.014982356518181202
mort_ok,0.013686274695143127
zone_Castellón,0.01063722337814679
zone_Murcia,0.010330009643156482
reno_bucket_medium,0.008158506056264664
zone_Toledo,0.00801653131293598
zone_Xàtiva,0.007396929499668202
zone_Anna,0.00705865566157623
reno_bucket_small,0.006963806689545382
zone_Alicante,0.0068524893084369945
zone_Valencia,0.006479816450060907
zone_Illescas,0.006146833090377298
baths,0.005300228355922328
zone_Sagunto,0.004041465329901746
reno_bucket_high,0.0025906637793777845
zone_Almoradí,0.0025522460353697507
rooms_exact,0.0
baths_exact,0.0
